target,condition,family,layer,sample_size,original_feature_count,feature_count,n_sampling_repeats,n_projection_seeds,n_runs,validation_accuracy_mean,validation_accuracy_std,validation_macro_f1_mean,validation_macro_f1_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_target_f1_mean,test_target_f1_std,selected_c_mode,selected_c_mean
footwear,random_conv1,random,conv1,30,3136,32,10,5,50,0.9614499999999999,0.016488477733228857,0.9536664916400123,0.020480104799350408,0.960912,0.015356865645338554,0.9530582535241939,0.019195160580425603,0.9338905444429818,0.027830937146359456,1.0,0.6940000000000001
footwear,random_conv1,random,conv1,50,3136,32,10,5,50,0.9772499999999998,0.009605615916892435,0.9728941200604139,0.011517713544766238,0.9758720000000001,0.008800256025960214,0.971297471808496,0.010463205271177027,0.9598418754042395,0.014639798519234696,1.0,0.748
footwear,random_conv1,random,conv1,80,3136,32,10,5,50,0.9817800000000001,0.00696650880269014,0.9783207333901116,0.008334230229946797,0.9802639999999999,0.006693394855667596,0.976543394988408,0.007929419733373862,0.9672034624619249,0.011063306802088304,1.0,0.7479999999999998
footwear,random_conv1,random,conv1,110,3136,32,10,5,50,0.9849199999999999,0.005136265617138188,0.9820585209972796,0.006139889107691377,0.983396,0.004540249026704352,0.9802583346191374,0.005410548821113212,0.9723887888587488,0.007582436734012643,1.0,0.7659999999999999
footwear,random_conv1,random,conv1,150,3136,32,10,5,50,0.9857899999999999,0.004488181759933982,0.9831237197468397,0.0053257478754039555,0.9849699999999999,0.003819886204096253,0.9821596957361955,0.004511793490670501,0.9750797104836708,0.0062804413228238305,1.0,0.784
footwear,random_conv1,random,conv1,200,3136,32,10,5,50,0.98706,0.0038725090743098704,0.9846294293968925,0.004596249187227783,0.986006,0.003413204251917273,0.9833824158142486,0.004056520383945398,0.9767800225144603,0.0056731118242679375,1.0,0.7660000000000001
footwear,random_conv2,random,conv2,10,1568,32,10,5,50,0.91229,0.04602639992217421,0.8875879170003337,0.06859163642693918,0.9120299999999999,0.044681856108560694,0.8875218249994687,0.06647794952837131,0.8355071501660071,0.10527847129312813,1.0,0.91
footwear,random_conv2,random,conv2,20,1568,32,10,5,50,0.9429400000000001,0.025702505238015302,0.9307484568505622,0.03213026646152226,0.94253,0.025376023152188527,0.9302533628745533,0.03183411580887879,0.9010488850996694,0.04626251836074303,1.0,0.8739999999999999
footwear,random_conv2,random,conv2,30,1568,32,10,5,50,0.95575,0.02009549903915435,0.9468315694613598,0.02473245653540939,0.9552100000000001,0.019605301761076183,0.9462244312943835,0.024222397849198773,0.9242875839250488,0.034860012931356876,1.0,0.856
footwear,random_conv2,random,conv2,50,1568,32,10,5,50,0.9725100000000001,0.011868105947265149,0.9672367660648754,0.014263895679045215,0.9723299999999999,0.01132831471516016,0.9670743322928591,0.01353888831133743,0.9539249255344927,0.019016791632180643,1.0,0.9640000000000001
footwear,random_conv2,random,conv2,80,1568,32,10,5,50,0.9785800000000002,0.008716838033720867,0.9744544001522817,0.010531862668801252,0.978312,0.008523236905480142,0.9741899397673648,0.010192420491907458,0.9638770341453176,0.014319700895665192,1.0,0.946
footwear,random_conv2,random,conv2,110,1568,32,10,5,50,0.9812299999999999,0.007634648462297213,0.9776221467916651,0.0092016663282827,0.9814360000000001,0.007676993459123741,0.9779135990814786,0.009159571517807594,0.9690942432066559,0.012845950521071384,1.0,0.946
footwear,random_conv2,random,conv2,150,1568,32,10,5,50,0.9833699999999999,0.006513572955994372,0.9801971160390169,0.007822724123049723,0.983396,0.006643700714486877,0.9802620380461121,0.007908381765298766,0.9723978421264805,0.011072035515723493,1.0,0.892
footwear,random_conv2,random,conv2,200,1568,32,10,5,50,0.9840499999999999,0.005864324865016348,0.9810178095187261,0.0070246806814575945,0.9843719999999999,0.005759111326003879,0.9814265787601868,0.006844968583063022,0.9740306252165588,0.009571951076172014,1.0,0.91
footwear,random_fc,random,fc,10,128,32,10,5,50,0.9363900000000001,0.036733359414536954,0.9188522855518348,0.05188059035547381,0.9348259999999999,0.037059262027741686,0.9168361664186037,0.05214592421773807,0.8783645421204784,0.08049193851399394,1.0,0.982
