target,condition,family,layer,sample_size,original_feature_count,feature_count,n_sampling_repeats,n_projection_seeds,n_runs,validation_accuracy_mean,validation_accuracy_std,validation_macro_f1_mean,validation_macro_f1_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_target_f1_mean,test_target_f1_std,selected_c_mode,selected_c_mean
tops,trained_conv2,trained,conv2,150,1568,32,10,5,50,0.9195700000000001,0.00880225504501836,0.9167556710254007,0.009092956265601622,0.9157659999999999,0.006778044086065913,0.9127399219203329,0.0069621548731903515,0.896531428282955,0.008213935635444383,0.1,0.20079999999999998
tops,trained_conv2,trained,conv2,200,1568,32,10,5,50,0.9211800000000001,0.009469478359876186,0.9184185344106172,0.009697986589470164,0.917512,0.006742876513289369,0.9145426229585868,0.006902326515022821,0.898655048523667,0.008072519886966669,0.1,0.217
tops,trained_fc,trained,fc,10,128,32,10,5,50,0.9313400000000001,0.0205898825957343,0.9284199972594855,0.0224609948674653,0.929428,0.02032390810883395,0.9262963166504343,0.022291625453693106,0.9115762621884776,0.029196657469347524,1.0,0.622
tops,trained_fc,trained,fc,20,128,32,10,5,50,0.94375,0.01050036442516278,0.9416691049995027,0.010848397730261874,0.940972,0.010725651875912498,0.9386791653353529,0.011110218574234004,0.9269571122118808,0.013305576216781216,0.1,0.4366000000000001
tops,trained_fc,trained,fc,30,128,32,10,5,50,0.95156,0.009372473809305764,0.9498974898521522,0.009378277211145845,0.9487159999999999,0.008283949565766516,0.9468267629003421,0.008361350637753433,0.936867151890013,0.009386243508050132,1.0,0.5248
tops,trained_fc,trained,fc,50,128,32,10,5,50,0.95596,0.00647510144905161,0.9543970096733169,0.006462638226836095,0.9531199999999999,0.006235448366118562,0.9513543294031035,0.006240189088457639,0.9421219864394385,0.006869066698473667,1.0,0.5176000000000001
tops,trained_fc,trained,fc,80,128,32,10,5,50,0.95992,0.005840883355054013,0.9584649569722709,0.005873325310708771,0.9575520000000001,0.005143342834208508,0.9559228853941875,0.0051491206209842676,0.94747195684414,0.005668980954572897,1.0,0.6112000000000001
tops,trained_fc,trained,fc,110,128,32,10,5,50,0.96166,0.005536004600682292,0.9602802006016414,0.005577870633830653,0.959182,0.005148199209630569,0.9576137292506836,0.005196179508581372,0.9494764749550174,0.005830328415412542,1.0,0.6256
tops,trained_fc,trained,fc,150,128,32,10,5,50,0.96479,0.004459671901540265,0.9634973899427233,0.004518731802073637,0.962344,0.003850796896058507,0.9608723706591624,0.003918000350867938,0.9532978555980258,0.004497513355127089,1.0,0.8001999999999999
tops,trained_fc,trained,fc,200,128,32,10,5,50,0.96597,0.0038444367438613142,0.9647205844391822,0.00391731711031953,0.963912,0.003338192105109024,0.9625062400865514,0.0034120088201900897,0.9552526746928313,0.003946443447597739,1.0,0.8740000000000001
