target,repeat,sampling_seed,projection_seed,sample_size,examples_per_original_class,training_class_counts,condition,family,layer,original_feature_count,feature_count,selected_c,validation_accuracy,validation_macro_f1,n_test,test_accuracy,test_macro_f1,test_target_f1,true_negative,false_positive,false_negative,true_positive
tops,1,42,0,20,2,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",random_conv2,random,conv2,1568,32,1.0,0.8465,0.8420690497778291,10000,0.8587,0.8538316814399597,0.8271559633027523,5206,794,619,3381
tops,1,42,0,20,2,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",random_fc,random,fc,128,32,1.0,0.8825,0.8778801765488886,10000,0.8818,0.8774692740209982,0.8544334975369459,5349,651,531,3469
tops,1,42,0,20,2,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",trained_conv1,trained,conv1,3136,32,0.1,0.8515,0.8435441825697156,10000,0.8533,0.8459167610833507,0.8121879400844962,5361,639,828,3172
tops,1,42,0,20,2,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",trained_conv2,trained,conv2,1568,32,1.0,0.9075,0.9044204014394803,10000,0.9067,0.9036009149791997,0.8863165590349702,5430,570,363,3637
tops,1,42,0,20,2,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",trained_fc,trained,fc,128,32,0.1,0.956,0.9544926133237355,10000,0.9561,0.9545004048582997,0.9459692307692308,5718,282,157,3843
footwear,1,42,0,30,3,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",pixels,pixels,pixels,784,32,1.0,0.941,0.9291477677343738,10000,0.9433,0.9323643736602822,0.9051680883090818,6727,273,294,2706
footwear,1,42,0,30,3,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",random_conv1,random,conv1,3136,32,0.1,0.964,0.956894693736799,10000,0.963,0.9557231343176775,0.937773292970064,6842,158,212,2788
footwear,1,42,0,30,3,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",random_conv2,random,conv2,1568,32,0.1,0.954,0.9455976044023364,10000,0.9574,0.9496933205625222,0.9300032862306934,6744,256,170,2830
footwear,1,42,0,30,3,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",random_fc,random,fc,128,32,1.0,0.9685,0.9618502622794468,10000,0.9726,0.9668859301507764,0.9531303455354089,6940,60,214,2786
footwear,1,42,0,30,3,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",trained_conv1,trained,conv1,3136,32,0.1,0.969,0.9630246327511105,10000,0.9693,0.9633366780553454,0.9485503603150662,6863,137,170,2830
