task,task_category,comparison,family,layer,sample_size,original_feature_count,feature_count,source_seed,n_sampling_repeats,n_projection_seeds,n_pairs,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,conv2,50,1568,32,42,10,5,50,0.009000000000000001,0.017643218619778703,0.018720359648969013,0.03439457952372747,0.008228571428571425,0.011547684670147072
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,conv2,80,1568,32,42,10,5,50,0.006442499999999998,0.015678453668610804,0.013631048342646454,0.03011520415268479,0.005764285714285719,0.010031554235669251
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,conv2,110,1568,32,42,10,5,50,0.007282499999999998,0.011481707112371647,0.015310395377292597,0.023360583317196055,0.005892857142857144,0.008144138945708977
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,conv2,150,1568,32,42,10,5,50,0.006087500000000001,0.009741566538419228,0.01289925489436276,0.020131831191467893,0.004850000000000018,0.0070566850160145075
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,conv2,200,1568,32,42,10,5,50,0.0053975000000000065,0.0074422817333099755,0.011648667320624154,0.015835243968409178,0.004318571428571436,0.005526793055897372
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,fc,10,128,32,42,10,5,50,0.030632500000000017,0.023021789949958273,0.060827628841526094,0.04216182000695831,0.024807142857142868,0.01662512819640365
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,fc,20,128,32,42,10,5,50,0.014895000000000018,0.015130245759229883,0.03089143590269463,0.028477708990334753,0.012274285714285727,0.008512410520017688
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,fc,30,128,32,42,10,5,50,0.011420000000000008,0.010499233451125108,0.024348792779686827,0.020903685704151825,0.00977428571428571,0.0064145516057793886
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,fc,50,128,32,42,10,5,50,0.009962500000000016,0.008980323232330936,0.021436842399048427,0.018366269463955098,0.008872857142857151,0.0055851347070558655
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,fc,80,128,32,42,10,5,50,0.007812500000000005,0.006897539582772861,0.017006151823329027,0.014283245902240988,0.006649999999999998,0.004037600503505248
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,fc,110,128,32,42,10,5,50,0.006230000000000009,0.004642813186605101,0.013737410077364587,0.009818074427257475,0.005831428571428576,0.0030387186299688862
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,fc,150,128,32,42,10,5,50,0.0053525000000000135,0.004137904212945269,0.01185647172907316,0.008844376915623788,0.00539000000000001,0.0029010191519447215
ankle_boot_vs_non_footwear,cross_pooled,coarse_minus_random,coarse,fc,200,128,32,42,10,5,50,0.004170000000000011,0.0032328590366764187,0.009293331387113935,0.006996596581501485,0.004088571428571437,0.0024694535326034482
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,conv1,10,3136,32,42,10,5,50,-0.010072499999999998,0.01703455540382908,-0.018846002761653654,0.030042066428272344,-0.009441428571428562,0.017790544557015446
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,conv1,20,3136,32,42,10,5,50,-0.011064999999999993,0.014909168867731378,-0.02126872214005009,0.0274924489043652,-0.009511428571428568,0.011479690339713435
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,conv1,30,3136,32,42,10,5,50,-0.0103525,0.012403085784989006,-0.020262650748166376,0.02325504271389665,-0.008907142857142865,0.009805695057474681
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,conv1,50,3136,32,42,10,5,50,-0.010214999999999997,0.011661795508831205,-0.02043554389400927,0.022647560280024594,-0.008777142857142862,0.00898233538792897
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,conv1,80,3136,32,42,10,5,50,-0.010122500000000003,0.009411628784517108,-0.020587394547375338,0.017964747060657028,-0.00838142857142858,0.007139949991483343
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,conv1,110,3136,32,42,10,5,50,-0.008644999999999988,0.007918041592026467,-0.018183712539117373,0.016014134656605988,-0.0074428571428571556,0.0063513174737722606
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,conv1,150,3136,32,42,10,5,50,-0.007067500000000007,0.0067975090162890215,-0.015017122499946857,0.013776780676493027,-0.006549999999999992,0.005316791667536449
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,conv1,200,3136,32,42,10,5,50,-0.006385000000000012,0.005496220872340474,-0.013723897642546062,0.011239573276055029,-0.0057914285714285715,0.0042502135086139765
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,conv2,10,1568,32,42,10,5,50,-0.003322500000000004,0.050783517194287045,-0.010642364869850788,0.07085237456504652,-0.0002957142857142858,0.03985903944932158
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,conv2,20,1568,32,42,10,5,50,-0.010865000000000008,0.023904169860814964,-0.021137961464187588,0.040901772540210296,-0.006097142857142861,0.01888479044859592
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,conv2,30,1568,32,42,10,5,50,-0.013712499999999996,0.018317081251149826,-0.026071997578518687,0.03450269215684352,-0.006430000000000007,0.014039351563962136
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,conv2,50,1568,32,42,10,5,50,-0.010894999999999986,0.016988729757563104,-0.021380564986462215,0.032173044155878246,-0.0063114285714285945,0.0109037835082065
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,conv2,80,1568,32,42,10,5,50,-0.010657500000000009,0.016603144872067384,-0.021224639545139735,0.03138054523410668,-0.006535714285714278,0.010291212188717272
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,conv2,110,1568,32,42,10,5,50,-0.0082775,0.014453198793247905,-0.017321886794468274,0.028941283077607183,-0.005561428571428579,0.009509087369839804
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,conv2,150,1568,32,42,10,5,50,-0.007000000000000002,0.012960029801238108,-0.014752135371376348,0.026248002102969493,-0.004642857142857142,0.008106614655093736
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,conv2,200,1568,32,42,10,5,50,-0.006899999999999997,0.010465778781830058,-0.01461480318680551,0.021762438223557203,-0.004534285714285713,0.006810706469638585
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,fc,10,128,32,42,10,5,50,0.014402499999999999,0.03249555787931259,0.02843577154113272,0.06014643325267363,0.009670000000000005,0.02101794561561322
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,fc,20,128,32,42,10,5,50,0.008025000000000004,0.020134544257295207,0.01636949347434308,0.039121615705364446,0.0058114285714285915,0.012254993797207578
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,fc,30,128,32,42,10,5,50,0.006899999999999997,0.013468903149136402,0.014618640968153945,0.027288734258133735,0.005245714285714281,0.008294068875344262
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,fc,50,128,32,42,10,5,50,0.008115000000000015,0.011402840453508206,0.017504392396390137,0.02344458342683571,0.00661714285714286,0.007317340606578758
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,fc,80,128,32,42,10,5,50,0.007429999999999995,0.007041973285599857,0.0161424992081492,0.01462123641918242,0.00558285714285714,0.004232107890027885
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,fc,110,128,32,42,10,5,50,0.006147500000000001,0.004921364425250623,0.013555041401078535,0.010447265222989654,0.005244285714285721,0.0031073762520833726
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,fc,150,128,32,42,10,5,50,0.005307499999999998,0.0043597920810281715,0.011755970750148774,0.009349136142017243,0.004747142857142861,0.002933747470229053
ankle_boot_vs_non_footwear,cross_pooled,fine_minus_random,fine,fc,200,128,32,42,10,5,50,0.0040424999999999975,0.003449860430480615,0.00900741939154114,0.007491470665694284,0.0035014285714285685,0.002502414078093873
