task,task_category,condition,family,layer,sample_size,original_feature_count,feature_count,source_seed,n_sampling_repeats,n_projection_seeds,n_runs,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,selected_c_mode
ankle_boot_vs_non_footwear,cross_pooled,fine_conv1,fine,conv1,30,3136,32,42,10,5,50,0.97218,0.016867849202986545,0.9423517566626927,0.03128816537560867,0.9741599999999999,0.01219546621023423,1.0
ankle_boot_vs_non_footwear,cross_pooled,fine_conv1,fine,conv1,50,3136,32,42,10,5,50,0.976315,0.013993033981235081,0.9501739053690528,0.02700353984648956,0.97792,0.009869258198707383,1.0
ankle_boot_vs_non_footwear,cross_pooled,fine_conv1,fine,conv1,80,3136,32,42,10,5,50,0.98,0.013134289715341696,0.9576500858530542,0.024803661453783432,0.9821428571428572,0.008301997170434906,1.0
ankle_boot_vs_non_footwear,cross_pooled,fine_conv1,fine,conv1,110,3136,32,42,10,5,50,0.9838049999999998,0.008529404422110509,0.9649743745298387,0.017217968108024128,0.9851057142857143,0.006157641034279183,1.0
ankle_boot_vs_non_footwear,cross_pooled,fine_conv1,fine,conv1,150,3136,32,42,10,5,50,0.9861325,0.007638826123221832,0.9697749222460937,0.015523554038447494,0.9867014285714285,0.005524597414571154,1.0
ankle_boot_vs_non_footwear,cross_pooled,fine_conv1,fine,conv1,200,3136,32,42,10,5,50,0.9877875,0.006087387114990731,0.9731966268836918,0.012484362990352249,0.9885042857142858,0.004532459864116293,1.0
ankle_boot_vs_non_footwear,cross_pooled,coarse_conv1,coarse,conv1,10,3136,32,42,10,5,50,0.9713225,0.02077980847002735,0.9412007595972582,0.03857705446427916,0.9716042857142857,0.015527918254371784,1.0
ankle_boot_vs_non_footwear,cross_pooled,coarse_conv1,coarse,conv1,20,3136,32,42,10,5,50,0.9801899999999999,0.012292674523421478,0.9579791429300987,0.023865645732683537,0.9814371428571427,0.007548588135571007,1.0
ankle_boot_vs_non_footwear,cross_pooled,coarse_conv1,coarse,conv1,30,3136,32,42,10,5,50,0.9832075,0.011463551656516963,0.9640793037923504,0.02289382190830988,0.9837957142857143,0.007928197270083074,1.0
ankle_boot_vs_non_footwear,cross_pooled,coarse_conv1,coarse,conv1,50,3136,32,42,10,5,50,0.987285,0.008098014054856481,0.9722783644140818,0.01680488451680081,0.9876771428571428,0.006225948975837282,1.0
ankle_boot_vs_non_footwear,cross_pooled,coarse_conv1,coarse,conv1,80,3136,32,42,10,5,50,0.9913625,0.004846117344465212,0.9808538696215331,0.010271460719632825,0.9915242857142856,0.0032473873777763536,1.0
ankle_boot_vs_non_footwear,cross_pooled,coarse_conv1,coarse,conv1,110,3136,32,42,10,5,50,0.9933425000000001,0.0027632807789411034,0.9850825412163705,0.0059930174824651275,0.9930414285714285,0.002379459249990562,1.0
ankle_boot_vs_non_footwear,cross_pooled,coarse_conv1,coarse,conv1,150,3136,32,42,10,5,50,0.9945949999999999,0.002144576691021679,0.9878417759509476,0.004718865174944499,0.9943485714285714,0.001717601264105653,1.0
ankle_boot_vs_non_footwear,cross_pooled,coarse_conv1,coarse,conv1,200,3136,32,42,10,5,50,0.9953150000000001,0.0017107925720232183,0.9894382059564922,0.003796056532947147,0.9952485714285715,0.0013272556888081419,1.0
ankle_boot_vs_non_footwear,cross_pooled,random_conv2,random,conv2,10,1568,32,42,10,5,50,0.9381799999999998,0.05542325637256236,0.8881772233229792,0.07552545585544815,0.9452771428571428,0.03865261847040778,1.0
ankle_boot_vs_non_footwear,cross_pooled,random_conv2,random,conv2,20,1568,32,42,10,5,50,0.9648650000000001,0.025230264059058052,0.9297849072632974,0.04229359162649416,0.970717142857143,0.017457659614535753,1.0
ankle_boot_vs_non_footwear,cross_pooled,random_conv2,random,conv2,30,1568,32,42,10,5,50,0.9743325,0.01623894070292337,0.9465949960307033,0.030962966296746892,0.9765471428571427,0.011479302581389773,1.0
ankle_boot_vs_non_footwear,cross_pooled,random_conv2,random,conv2,50,1568,32,42,10,5,50,0.9797825000000002,0.014473758141716267,0.9574350082734021,0.028054444496610854,0.9824557142857142,0.010170658424835085,1.0
ankle_boot_vs_non_footwear,cross_pooled,random_conv2,random,conv2,80,1568,32,42,10,5,50,0.9843725000000001,0.013425828224746816,0.9668365810223869,0.025666923283243825,0.9868442857142857,0.008597793392996532,1.0
ankle_boot_vs_non_footwear,cross_pooled,random_conv2,random,conv2,110,1568,32,42,10,5,50,0.9873824999999999,0.010273132495763412,0.9727906271590766,0.0206534950211466,0.9890442857142857,0.006918320540447287,1.0
ankle_boot_vs_non_footwear,cross_pooled,random_conv2,random,conv2,150,1568,32,42,10,5,50,0.9890625,0.009090224130619556,0.9762628645381447,0.01855095266864555,0.9904585714285714,0.005911485971310814,1.0
ankle_boot_vs_non_footwear,cross_pooled,random_conv2,random,conv2,200,1568,32,42,10,5,50,0.9907775000000001,0.00656036967366185,0.9797307278844025,0.01384791765127564,0.9919442857142857,0.004488410964501321,1.0
ankle_boot_vs_non_footwear,cross_pooled,fine_conv2,fine,conv2,10,1568,32,42,10,5,50,0.9348575,0.03111278046749225,0.8775348584531285,0.04591874062864237,0.9449814285714286,0.019864046506359943,1.0
ankle_boot_vs_non_footwear,cross_pooled,fine_conv2,fine,conv2,20,1568,32,42,10,5,50,0.9540000000000001,0.01547119195835424,0.9086469457991098,0.026500153078397138,0.9646199999999999,0.008818374667614533,1.0
ankle_boot_vs_non_footwear,cross_pooled,fine_conv2,fine,conv2,30,1568,32,42,10,5,50,0.96062,0.014317753358138624,0.9205229984521845,0.02549931181390483,0.9701171428571428,0.008853953625010456,1.0
ankle_boot_vs_non_footwear,cross_pooled,fine_conv2,fine,conv2,50,1568,32,42,10,5,50,0.9688875000000001,0.014467112818953421,0.9360544432869399,0.026728766039000755,0.9761442857142856,0.008485753673672458,1.0
ankle_boot_vs_non_footwear,cross_pooled,fine_conv2,fine,conv2,80,1568,32,42,10,5,50,0.973715,0.015231526113791166,0.945611941477247,0.027547386120466925,0.9803085714285714,0.007853304654888866,1.0
ankle_boot_vs_non_footwear,cross_pooled,fine_conv2,fine,conv2,110,1568,32,42,10,5,50,0.979105,0.008590505556385231,0.9554687403646082,0.01687497479520773,0.9834828571428571,0.005015771876145879,1.0
ankle_boot_vs_non_footwear,cross_pooled,fine_conv2,fine,conv2,150,1568,32,42,10,5,50,0.9820625,0.00836352206163828,0.9615107291667685,0.016536256149697507,0.9858157142857142,0.004496634170925916,1.0
ankle_boot_vs_non_footwear,cross_pooled,fine_conv2,fine,conv2,200,1568,32,42,10,5,50,0.9838775000000001,0.006630003405207362,0.9651159246975968,0.013445488511988478,0.9874100000000001,0.004098557003715217,1.0
