task,task_category,family,layer,examples_per_class,n_probe_train,n_seeds,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std
coat_vs_non_tops,cross_pooled,random,fc,5,10,1,0.9068571428571428,0.0,0.8318040920103849,0.0,0.8773333333333333,0.0
coat_vs_non_tops,cross_pooled,random,fc,10,20,1,0.9178571428571428,0.0,0.8452397774144277,0.0,0.875,0.0
coat_vs_non_tops,cross_pooled,random,fc,30,60,1,0.9387142857142857,0.0,0.8831520737822086,0.0,0.9109166666666666,0.0
coat_vs_non_tops,cross_pooled,random,fc,100,200,1,0.9395714285714286,0.0,0.8896192063922893,0.0,0.93725,0.0
coat_vs_shirt,within_tops,coarse,conv1,5,10,1,0.648,0.0,0.6404402563906126,0.0,0.648,0.0
coat_vs_shirt,within_tops,coarse,conv1,10,20,1,0.731,0.0,0.7309128157523037,0.0,0.731,0.0
coat_vs_shirt,within_tops,coarse,conv1,30,60,1,0.778,0.0,0.7777864527811227,0.0,0.778,0.0
coat_vs_shirt,within_tops,coarse,conv1,100,200,1,0.846,0.0,0.846,0.0,0.846,0.0
coat_vs_shirt,within_tops,coarse,conv2,5,10,1,0.708,0.0,0.7075320512820513,0.0,0.708,0.0
coat_vs_shirt,within_tops,coarse,conv2,10,20,1,0.737,0.0,0.7366394594199459,0.0,0.737,0.0
coat_vs_shirt,within_tops,coarse,conv2,30,60,1,0.762,0.0,0.7616185897435898,0.0,0.762,0.0
coat_vs_shirt,within_tops,coarse,conv2,100,200,1,0.8355,0.0,0.835465406601738,0.0,0.8354999999999999,0.0
coat_vs_shirt,within_tops,coarse,fc,5,10,1,0.634,0.0,0.6339381355449071,0.0,0.634,0.0
coat_vs_shirt,within_tops,coarse,fc,10,20,1,0.691,0.0,0.6902563053892397,0.0,0.6910000000000001,0.0
coat_vs_shirt,within_tops,coarse,fc,30,60,1,0.7575,0.0,0.7574984843655272,0.0,0.7575000000000001,0.0
