seed,task,layer,examples_per_class,task_category,family,n_probe_train,comparison,test_accuracy,test_macro_f1,test_balanced_accuracy
42,tops_four_way,conv1,5,within_tops,fine,20,fine_minus_random,0.04349999999999998,0.04083438793898142,0.04349999999999998
42,tops_four_way,conv2,5,within_tops,fine,20,fine_minus_random,0.05349999999999999,0.057547883747865736,0.05349999999999999
42,tops_four_way,fc,5,within_tops,fine,20,fine_minus_random,0.21499999999999997,0.21539211892335453,0.21499999999999997
42,tops_four_way,conv1,10,within_tops,fine,40,fine_minus_random,0.019000000000000017,0.011148422990962747,0.019000000000000128
42,tops_four_way,conv2,10,within_tops,fine,40,fine_minus_random,0.02774999999999994,0.03518939038975555,0.02774999999999994
42,tops_four_way,fc,10,within_tops,fine,40,fine_minus_random,0.253,0.25451882623876565,0.253
42,tops_four_way,conv1,30,within_tops,fine,120,fine_minus_random,0.007249999999999979,0.0048107162699799755,0.007249999999999979
42,tops_four_way,conv2,30,within_tops,fine,120,fine_minus_random,0.03275000000000006,0.032928388326945,0.032749999999999946
42,tops_four_way,fc,30,within_tops,fine,120,fine_minus_random,0.20800000000000007,0.20807035262947804,0.20800000000000007
42,tops_four_way,conv1,100,within_tops,fine,400,fine_minus_random,0.01750000000000007,0.017976382538600122,0.01749999999999985
42,tops_four_way,conv2,100,within_tops,fine,400,fine_minus_random,0.062249999999999917,0.061419819882562066,0.06225000000000014
42,tops_four_way,fc,100,within_tops,fine,400,fine_minus_random,0.18274999999999997,0.18331610020952271,0.18275000000000008
42,tshirt_vs_pullover,conv1,5,within_tops,fine,10,fine_minus_random,0.016000000000000014,0.014710018978011163,0.016000000000000014
42,tshirt_vs_pullover,conv2,5,within_tops,fine,10,fine_minus_random,0.02399999999999991,0.023991790735984342,0.02399999999999991
42,tshirt_vs_pullover,fc,5,within_tops,fine,10,fine_minus_random,0.029000000000000026,0.02899804516025295,0.028999999999999915
42,tshirt_vs_pullover,conv1,10,within_tops,fine,20,fine_minus_random,0.0050000000000000044,0.0038978606368641477,0.004999999999999893
42,tshirt_vs_pullover,conv2,10,within_tops,fine,20,fine_minus_random,-0.033499999999999974,-0.033846836493888866,-0.033499999999999974
42,tshirt_vs_pullover,fc,10,within_tops,fine,20,fine_minus_random,0.015000000000000013,0.015010060679047976,0.015000000000000013
42,tshirt_vs_pullover,conv1,30,within_tops,fine,60,fine_minus_random,0.015499999999999958,0.015505599511978496,0.015499999999999958
42,tshirt_vs_pullover,conv2,30,within_tops,fine,60,fine_minus_random,0.0024999999999999467,0.0024845061931747514,0.0024999999999999467
42,tshirt_vs_pullover,fc,30,within_tops,fine,60,fine_minus_random,0.014500000000000068,0.014523921738995416,0.014499999999999957
42,tshirt_vs_pullover,conv1,100,within_tops,fine,200,fine_minus_random,0.00649999999999995,0.00650009337521007,0.006500000000000061
42,tshirt_vs_pullover,conv2,100,within_tops,fine,200,fine_minus_random,0.0004999999999999449,0.0005002183765802082,0.000500000000000056
42,tshirt_vs_pullover,fc,100,within_tops,fine,200,fine_minus_random,0.015499999999999958,0.015496911327011809,0.01550000000000007
42,tshirt_vs_coat,conv1,5,within_tops,fine,10,fine_minus_random,0.03649999999999998,0.03606910829808063,0.03649999999999998
42,tshirt_vs_coat,conv2,5,within_tops,fine,10,fine_minus_random,-0.009000000000000008,-0.009742796337168125,-0.009000000000000008
42,tshirt_vs_coat,fc,5,within_tops,fine,10,fine_minus_random,0.08250000000000002,0.0836254852784466,0.08250000000000002
42,tshirt_vs_coat,conv1,10,within_tops,fine,20,fine_minus_random,0.010499999999999954,0.010557129038294644,0.010500000000000065
42,tshirt_vs_coat,conv2,10,within_tops,fine,20,fine_minus_random,0.025000000000000022,0.025237356568352354,0.025000000000000022
42,tshirt_vs_coat,fc,10,within_tops,fine,20,fine_minus_random,0.09000000000000008,0.09051252227475837,0.08999999999999997
42,tshirt_vs_coat,conv1,30,within_tops,fine,60,fine_minus_random,0.03049999999999997,0.03046653650379416,0.03049999999999997
42,tshirt_vs_coat,conv2,30,within_tops,fine,60,fine_minus_random,0.022499999999999964,0.022510884008645426,0.022499999999999964
42,tshirt_vs_coat,fc,30,within_tops,fine,60,fine_minus_random,0.0655,0.06555401241883507,0.0655
42,tshirt_vs_coat,conv1,100,within_tops,fine,200,fine_minus_random,0.0010000000000000009,0.0010001562744178516,0.0009999999999998899
42,tshirt_vs_coat,conv2,100,within_tops,fine,200,fine_minus_random,0.010499999999999954,0.010502507455969923,0.010500000000000065
42,tshirt_vs_coat,fc,100,within_tops,fine,200,fine_minus_random,0.020500000000000074,0.020508200045440628,0.020500000000000074
42,tshirt_vs_shirt,conv1,5,within_tops,fine,10,fine_minus_random,0.023500000000000076,0.021344107448117322,0.023500000000000076
42,tshirt_vs_shirt,conv2,5,within_tops,fine,10,fine_minus_random,0.029000000000000026,0.028377386935454885,0.029000000000000137
42,tshirt_vs_shirt,fc,5,within_tops,fine,10,fine_minus_random,0.08499999999999996,0.08361417180749842,0.08499999999999996
42,tshirt_vs_shirt,conv1,10,within_tops,fine,20,fine_minus_random,-0.010000000000000009,-0.013189121024508865,-0.010000000000000009
42,tshirt_vs_shirt,conv2,10,within_tops,fine,20,fine_minus_random,0.01649999999999996,0.017166625183814843,0.01650000000000007
42,tshirt_vs_shirt,fc,10,within_tops,fine,20,fine_minus_random,0.034500000000000086,0.030276187282630818,0.034499999999999975
42,tshirt_vs_shirt,conv1,30,within_tops,fine,60,fine_minus_random,-0.01100000000000001,-0.013131308141268172,-0.010999999999999899
42,tshirt_vs_shirt,conv2,30,within_tops,fine,60,fine_minus_random,-0.008000000000000007,-0.007947197480876467,-0.008000000000000007
42,tshirt_vs_shirt,fc,30,within_tops,fine,60,fine_minus_random,0.055499999999999994,0.05680979777985895,0.055500000000000105
42,tshirt_vs_shirt,conv1,100,within_tops,fine,200,fine_minus_random,0.019000000000000017,0.019022641699282472,0.019000000000000017
42,tshirt_vs_shirt,conv2,100,within_tops,fine,200,fine_minus_random,0.02200000000000002,0.02222854652779116,0.02200000000000002
42,tshirt_vs_shirt,fc,100,within_tops,fine,200,fine_minus_random,0.07650000000000001,0.07824083652524894,0.07650000000000001
42,pullover_vs_coat,conv1,5,within_tops,fine,10,fine_minus_random,-0.014499999999999957,-0.01658544257705108,-0.014500000000000068
42,pullover_vs_coat,conv2,5,within_tops,fine,10,fine_minus_random,0.136,0.1359684355560017,0.136
42,pullover_vs_coat,fc,5,within_tops,fine,10,fine_minus_random,0.3365,0.33877853639724553,0.3365
42,pullover_vs_coat,conv1,10,within_tops,fine,20,fine_minus_random,0.05799999999999994,0.05867439028989807,0.05800000000000005
42,pullover_vs_coat,conv2,10,within_tops,fine,20,fine_minus_random,0.07850000000000001,0.08004732181643448,0.07850000000000001
42,pullover_vs_coat,fc,10,within_tops,fine,20,fine_minus_random,0.29800000000000004,0.29992252666346,0.29800000000000004
42,pullover_vs_coat,conv1,30,within_tops,fine,60,fine_minus_random,0.008500000000000063,0.008516457171677483,0.008500000000000063
42,pullover_vs_coat,conv2,30,within_tops,fine,60,fine_minus_random,0.045499999999999985,0.046133098448873144,0.045499999999999985
42,pullover_vs_coat,fc,30,within_tops,fine,60,fine_minus_random,0.18000000000000005,0.1801976367670055,0.18000000000000005
42,pullover_vs_coat,conv1,100,within_tops,fine,200,fine_minus_random,0.029999999999999916,0.0298467656187682,0.030000000000000027
42,pullover_vs_coat,conv2,100,within_tops,fine,200,fine_minus_random,0.03749999999999998,0.037570274830011297,0.03749999999999998
42,pullover_vs_coat,fc,100,within_tops,fine,200,fine_minus_random,0.15500000000000003,0.15518499634102711,0.15500000000000003
42,pullover_vs_shirt,conv1,5,within_tops,fine,10,fine_minus_random,0.05499999999999994,0.05535302970264766,0.05499999999999994
42,pullover_vs_shirt,conv2,5,within_tops,fine,10,fine_minus_random,0.08500000000000008,0.11754056800026058,0.08499999999999996
