source_seed,repeat,sampling_seed,projection_seed,task,sample_size,layer,task_category,family,condition,original_feature_count,feature_count,comparison,test_accuracy,test_macro_f1,test_balanced_accuracy
42,2,43,0,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,0.07775000000000004,0.0729240456959031,0.07774999999999993
42,2,43,1,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,-0.0050000000000000044,-0.011329323404186575,-0.0050000000000000044
42,2,43,1,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.02200000000000002,-0.029958272219996473,-0.02200000000000002
42,2,43,1,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,0.05275000000000002,0.031008204681798657,0.05275000000000002
42,2,43,1,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,0.029000000000000026,0.03316604954399549,0.02899999999999997
42,2,43,1,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.23299999999999993,0.20182584417671073,0.23299999999999993
42,2,43,1,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,0.07500000000000001,0.0724396409148858,0.07500000000000001
42,2,43,2,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,-0.0050000000000000044,-0.004604932333245049,-0.00500000000000006
42,2,43,2,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.03925000000000001,-0.038373831900560595,-0.03925000000000001
42,2,43,2,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,0.04850000000000004,0.008746645479639381,0.0485000000000001
42,2,43,2,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.013249999999999984,-0.032767496928059914,-0.013249999999999929
42,2,43,2,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.18900000000000006,0.1731094374746182,0.18900000000000006
42,2,43,2,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,0.05049999999999999,0.043785654372103966,0.05049999999999999
42,2,43,3,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,-0.015000000000000013,-0.01656125983283191,-0.015000000000000069
42,2,43,3,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.029249999999999998,-0.02147218778306581,-0.029249999999999998
42,2,43,3,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,0.03975000000000001,0.025568084750707265,0.03975000000000006
42,2,43,3,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,0.064,0.03434456434659594,0.06399999999999995
42,2,43,3,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.19949999999999996,0.20439935794618763,0.19949999999999996
42,2,43,3,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,0.08174999999999993,0.06454963166223399,0.08174999999999993
42,2,43,4,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,-0.0017500000000000293,0.0035849825864368023,-0.0017500000000000293
42,2,43,4,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.016000000000000014,-0.015083335263139763,-0.016000000000000014
42,2,43,4,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,0.03199999999999997,0.014738545062658037,0.03199999999999992
