task,task_category,comparison,family,layer,sample_size,original_feature_count,feature_count,source_seed,n_sampling_repeats,n_projection_seeds,n_pairs,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,fc,10,128,32,42,10,5,50,0.17346,0.0685376939006157,0.21979326232389,0.06395563038026299,0.12846,0.0350888378540828
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,fc,20,128,32,42,10,5,50,0.12136,0.034756656765350336,0.17281164292868212,0.03953134566633786,0.09416000000000001,0.02115784566317128
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,fc,30,128,32,42,10,5,50,0.10851714285714285,0.0355112114565063,0.15730951342385488,0.03882852790421974,0.08487666666666666,0.019937702294625506
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,fc,50,128,32,42,10,5,50,0.0897514285714286,0.03481604911725257,0.13484029334402747,0.041248876621558385,0.073455,0.018846950483221596
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,fc,80,128,32,42,10,5,50,0.07278000000000001,0.023347816631134184,0.11502645078610443,0.029848654078519356,0.061963333333333336,0.014309406544167319
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,fc,110,128,32,42,10,5,50,0.06632857142857143,0.020390303409615874,0.10635454853798595,0.026363544673811946,0.057291666666666644,0.011388213090397043
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,fc,150,128,32,42,10,5,50,0.061982857142857145,0.018403516314679895,0.10005726353765405,0.02440969431681468,0.053623333333333356,0.00958618324971166
coat_vs_non_tops,cross_pooled,coarse_minus_random,coarse,fc,200,128,32,42,10,5,50,0.05765142857142857,0.016632344056225642,0.09368352235192866,0.02247950141970817,0.05091333333333334,0.00914063961202971
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,conv1,10,3136,32,42,10,5,50,0.019065714285714287,0.06115652152426541,0.016085369771053296,0.06237311424070468,0.0025133333333333297,0.044558763208652985
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,conv1,20,3136,32,42,10,5,50,0.006997142857142864,0.03172520351564542,0.006700146947914712,0.03718326894513269,0.0004066666666666663,0.021379193373395815
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,conv1,30,3136,32,42,10,5,50,0.003919999999999992,0.021368334382579155,0.003379647357728011,0.025871303301938858,-0.0007633333333333203,0.016677474047036293
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,conv1,50,3136,32,42,10,5,50,0.002745714285714287,0.0160845664474028,0.002460411207514326,0.020744293156169564,-0.0014316666666666577,0.014271140284200755
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,conv1,80,3136,32,42,10,5,50,-0.00333142857142857,0.01455988910256132,-0.005038956990634349,0.020607948345956615,-0.004376666666666662,0.01099063247805027
coat_vs_non_tops,cross_pooled,fine_minus_random,fine,conv1,110,3136,32,42,10,5,50,-0.0028657142857142935,0.011800627899628453,-0.0040406202703242465,0.016673156200797835,-0.0026383333333333423,0.008045128700337162
